Boro,OBJECTID,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
QU,264,Limited Free,TimeWarner,Rockaway Beach,Beach 73 Street  1,40.586478,-73.800175999800004,1039751.663259999942966,153009.476839000009932,,,Queens,
QU,265,Limited Free,TimeWarner,Rockaway Beach,Beach 73 Street  2,40.5864840001,-73.800090999800005,1039775.267220000037923,153011.716664000006858,,,Queens,
QU,266,Limited Free,TimeWarner,Baisley Pond Park,Playground,40.6745000003,-73.789599999800004,1042612.144749999977648,185085.035720000014408,,,Queens,
QU,267,Limited Free,TimeWarner,Baisley Pond Park,Baseball field at 150th St and 133rd Ave,40.667600000299998,-73.789400000300006,1042673.665619999985211,182571.310104000003776,,,Queens,
QU,268,Limited Free,TimeWarner,Baisley Pond Park,Tennis Courts at 150th St and 130th Ave,40.669799999600002,-73.789000000399994,1042782.700839999946766,183373.09688600001391,,,Queens,
QU,269,Limited Free,TimeWarner,Baisley Pond Park,Cricket Pitch at 150th St and Sutter Ave,40.671399999899997,-73.788600000100004,1042892.256389999995008,183956.28830499999458,,,Queens,
QU,270,Limited Free,TimeWarner,Baisley Pond Park,Basketball Courts at Foch Blvd and 155th St,40.681600000099998,-73.788300000099994,1042966.495089999982156,187672.630937999987509,,,Queens,
QU,271,Limited Free,TimeWarner,Baisley Pond Park,Tennis Courts 155th St and 118th Ave,40.680500000199999,-73.787499999900007,1043189.35257999994792,187272.407657000003383,,,Queens,
QU,272,Limited Free,TimeWarner,Baisley Pond Park,Benches near the lake,40.679600000100002,-73.787500000500003,1043190.147860000026412,186944.512644000002183,,,Queens,
QU,273,Limited Free,TimeWarner,Baisley Pond Park,Benches near flagpole,40.675099999799997,-73.787399999399994,1043221.863669999991544,185305.105489999987185,,,Queens,
QU,274,Limited Free,TimeWarner,Baisley Pond Park,Basketball Courts at 116th Ave and Barron St,40.685000000400002,-73.787199999899997,1043268.578139999997802,188912.085152000014205,,,Queens,
QU,275,Limited Free,TimeWarner,Baisley Pond Park,Track and Field,40.678099999600001,-73.787099999700004,1043302.422239999985322,186398.290310999989742,,,Queens,
QU,276,Limited Free,TimeWarner,Baisley Pond Park,Playground,40.672699999700001,-73.786800000300005,1043390.421729999943636,184431.123969999986002,,,Queens,
QU,277,Limited Free,TimeWarner,Baisley Pond Park,Baseball Field at 157th St between Foch Blvd and 116th Ave,40.684600000099998,-73.785900000300003,1043629.479330000001937,188767.232423000008566,,,Queens,
QU,278,Limited Free,TimeWarner,Baisley Pond Park,Perimeter of park near Cricket Pitch adjacent to pond,40.673199999700003,-73.785200000299994,1043833.804699999978766,184614.371963000012329,,,Queens,
QU,279,Limited Free,TimeWarner,Baisley Pond Park,Track and Field,40.683000000299998,-73.784800000199994,1043935.989870000048541,188185.055438000010327,,,Queens,
QU,280,Limited Free,TimeWarner,Baisley Pond Park,Benches,40.6808000001,-73.784700000499996,1043965.694860000046901,187383.602317000011681,,,Queens,
QU,281,Limited Free,TimeWarner,Baisley Pond Park,East Entrance of the Park,40.679299999999998,-73.784399999499996,1044050.248170000035316,186837.315352000005078,,,Queens,
